antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'clicks_forumng_low'}),frozenset({'Result_Fail'}),0.3308536358564255,0.3022131299981402,0.16105635112516273,0.4867903316469927,1.6107517620097722,0.061068038261727464,1.359652619642178,0.5666501276690797
frozenset({'clicks_homepage_low'}),frozenset({'Result_Fail'}),0.3302957039241213,0.3022131299981402,0.1913706527803608,0.5793918918918919,1.9171632016632019,0.09155095427251311,1.6589952893216908,0.7143391493940379
frozenset({'clicks_oucontent_low'}),frozenset({'Result_Fail'}),0.34350009298865536,0.3022131299981402,0.1748186721220011,0.5089334055224689,1.684021490150348,0.07100843386524736,1.4209617959133793,0.618710445422217
frozenset({'clicks_quiz_low'}),frozenset({'Result_Fail'}),0.3362469778687,0.3022131299981402,0.21089827041100986,0.627212389380531,2.075397549353302,0.10928001877689465,1.8718081023195292,0.7806587491840131
frozenset({'clicks_forumng_high'}),frozenset({'Result_Pass'}),0.3299237493025851,0.5718802306118653,0.2170355216663567,0.657835400225479,1.1503027469959028,0.028358651830863085,1.2512100014737244,0.19499816990554136
frozenset({'clicks_forumng_low'}),frozenset({'Result_Pass'}),0.3308536358564255,0.5718802306118653,0.15510507718058397,0.4688026981450253,0.8197567830653012,-0.03410357639176276,0.8059524547529011,-0.24732168321026268
frozenset({'clicks_forumng_medium'}),frozenset({'Result_Pass'}),0.3392226148409894,0.5718802306118653,0.19973963176492468,0.5888157894736842,1.0296138211382113,0.005744924560899672,1.0411872791519434,0.04352761927523668
frozenset({'clicks_homepage_high'}),frozenset({'Result_Pass'}),0.3286219081272085,0.5718802306118653,0.2226148409893993,0.6774193548387096,1.1845476003147128,0.0346824683855001,1.3271712851032174,0.23205381875742
frozenset({'clicks_homepage_low'}),frozenset({'Result_Pass'}),0.3302957039241213,0.5718802306118653,0.12869629905151572,0.38963963963963966,0.6813308430381602,-0.060193284278719145,0.7014213195879402,-0.4112075776993947
frozenset({'clicks_homepage_medium'}),frozenset({'Result_Pass'}),0.34108238794867024,0.5718802306118653,0.22056909057095034,0.6466739367502726,1.1307856123272246,0.025510815893219074,1.2116846559534553,0.17552887935691544
frozenset({'clicks_oucontent_high'}),frozenset({'Result_Pass'}),0.3267621350195276,0.5718802306118653,0.2187093174632695,0.6693227091633467,1.1703896608687203,0.03184051233307658,1.294675447185805,0.21624408050513044
frozenset({'clicks_oucontent_low'}),frozenset({'Result_Pass'}),0.34350009298865536,0.5718802306118653,0.1396689603868328,0.4066053059014618,0.7109973105145236,-0.056771952006716614,0.7214755602736175,-0.38239383397927695
frozenset({'clicks_oucontent_medium'}),frozenset({'Result_Pass'}),0.329737771991817,0.5718802306118653,0.21350195276176306,0.6474901297236323,1.1322128219590148,0.024931439673640116,1.2144901618002606,0.17422110353575412
frozenset({'clicks_quiz_high'}),frozenset({'Result_Pass'}),0.3269481123302957,0.5718802306118653,0.22689231913706528,0.6939704209328783,1.2134890905223046,0.039917157259501734,1.398948986216247,0.2613913815518281
frozenset({'clicks_quiz_low'}),frozenset({'Result_Pass'}),0.3362469778687,0.5718802306118653,0.11344615956853264,0.3373893805309735,0.5899651054032665,-0.0788468396775623,0.6461106369396892,-0.5115039760182376
frozenset({'clicks_quiz_medium'}),frozenset({'Result_Pass'}),0.3368049098010043,0.5718802306118653,0.23154175190626744,0.6874654886802871,1.202114449637042,0.03892968241806061,1.3698319829715757,0.253518842616681
"frozenset({'clicks_forumng_low', 'clicks_homepage_low'})",frozenset({'Result_Fail'}),0.2237307048540078,0.3022131299981402,0.13892505114376047,0.6209476309226933,2.054667945520814,0.07131069455314067,1.8408719399391174,0.6612439215414606
"frozenset({'clicks_forumng_low', 'clicks_quiz_low'})",frozenset({'Result_Fail'}),0.19992560907569276,0.3022131299981402,0.13371768644225404,0.6688372093023256,2.2131308765652955,0.07329754235670435,2.107081138348313,0.6851255909047707
frozenset({'clicks_forumng_low'}),"frozenset({'Result_Fail', 'clicks_quiz_low'})",0.3308536358564255,0.21089827041100986,0.13371768644225404,0.4041596402473299,1.9163724740827979,0.06394122688093982,1.3243509216403901,0.7146131253570791
"frozenset({'clicks_oucontent_low', 'clicks_homepage_low'})",frozenset({'Result_Fail'}),0.16533382927282872,0.3022131299981402,0.12962618560535616,0.7840269966254219,2.59428502206455,0.07966013156623646,3.230898580373195,0.7362672211182635
"frozenset({'clicks_homepage_low', 'clicks_quiz_low'})",frozenset({'Result_Fail'}),0.2267063418262972,0.3022131299981402,0.16644969313743724,0.734208367514356,2.4294390105382724,0.09793605998368367,2.6253154152230467,0.7608782692581575
frozenset({'clicks_homepage_low'}),"frozenset({'Result_Fail', 'clicks_quiz_low'})",0.3302957039241213,0.21089827041100986,0.16644969313743724,0.5039414414414415,2.3895001151945596,0.09679090045565306,1.590743100737851,0.8682972917206423
"frozenset({'clicks_oucontent_low', 'clicks_quiz_low'})",frozenset({'Result_Fail'}),0.16775153431281384,0.3022131299981402,0.1411567788729775,0.8414634146341464,2.7843377110694187,0.09046006262631162,4.401424872319425,0.7700202412760101
frozenset({'clicks_oucontent_low'}),"frozenset({'Result_Fail', 'clicks_quiz_low'})",0.34350009298865536,0.21089827041100986,0.1411567788729775,0.410936654033568,1.948506515642412,0.06871320337564904,1.3395872192563096,0.741487420080843
"frozenset({'clicks_homepage_high', 'clicks_forumng_high'})",frozenset({'Result_Pass'}),0.23860888971545471,0.5718802306118653,0.15956853263901805,0.6687451286048325,1.1693796931733933,0.023112825762502676,1.2924180332352397,0.19023831566577065
frozenset({'clicks_homepage_high'}),"frozenset({'Result_Pass', 'clicks_forumng_high'})",0.3286219081272085,0.2170355216663567,0.15956853263901805,0.48556876061120546,2.237277828454543,0.08824590537763581,1.522000256562759,0.8237210158262791
"frozenset({'clicks_quiz_high', 'clicks_forumng_high'})",frozenset({'Result_Pass'}),0.15584898642365633,0.5718802306118653,0.10247349823321555,0.6575178997613365,1.149747560005433,0.013346543936629512,1.2500500583528111,0.15428976296976926
frozenset({'clicks_quiz_high'}),"frozenset({'Result_Pass', 'clicks_forumng_high'})",0.3269481123302957,0.2170355216663567,0.10247349823321555,0.3134243458475541,1.4441154306960569,0.03151414411577924,1.1403906817817275,0.4569255126076381
"frozenset({'clicks_homepage_medium', 'clicks_forumng_medium'})",frozenset({'Result_Pass'}),0.16589176120513296,0.5718802306118653,0.1032174074762879,0.6221973094170404,1.0879853439790006,0.00834718882168796,1.1331834845525703,0.09695380999728835
frozenset({'clicks_homepage_medium'}),"frozenset({'Result_Pass', 'clicks_forumng_medium'})",0.34108238794867024,0.19973963176492468,0.1032174074762879,0.3026172300981462,1.5150585160500298,0.03508973690591932,1.1475195585169102,0.5159362580192386
"frozenset({'clicks_oucontent_high', 'clicks_homepage_high'})",frozenset({'Result_Pass'}),0.1480379393713967,0.5718802306118653,0.10303143016551981,0.6959798994974874,1.2170029006822731,0.01837145925850013,1.408195605094856,0.20929250230704913
"frozenset({'clicks_quiz_high', 'clicks_homepage_high'})",frozenset({'Result_Pass'}),0.19583410823879488,0.5718802306118653,0.13334573182071788,0.6809116809116809,1.190654344150279,0.02135207683944687,1.3416967772788861,0.19912021644301153
"frozenset({'clicks_oucontent_high', 'clicks_quiz_high'})",frozenset({'Result_Pass'}),0.18058396875581179,0.5718802306118653,0.13037009484842849,0.721936148300721,1.262390461597716,0.02709769315154896,1.5396455410217735,0.25365877033198797
"frozenset({'clicks_quiz_medium', 'clicks_oucontent_medium'})",frozenset({'Result_Pass'}),0.16626371582666916,0.5718802306118653,0.11865352427003906,0.7136465324384788,1.2478950910314472,0.023570592120697856,1.4950745071601266,0.23826549199798328
frozenset({'clicks_quiz_medium'}),"frozenset({'Result_Pass', 'clicks_oucontent_medium'})",0.3368049098010043,0.21350195276176306,0.11865352427003906,0.3522915516289343,1.650062433021585,0.04674501832777517,1.2142778887881047,0.5940368545141592
"frozenset({'clicks_forumng_low', 'clicks_homepage_low', 'clicks_quiz_low'})",frozenset({'Result_Fail'}),0.16830946624511808,0.3022131299981402,0.12423284359308165,0.738121546961326,2.4423874203144926,0.0733675129908282,2.66454479895225,0.7100772738958578
"frozenset({'clicks_forumng_low', 'clicks_homepage_low'})","frozenset({'Result_Fail', 'clicks_quiz_low'})",0.2237307048540078,0.21089827041100986,0.12423284359308165,0.5552784704904405,2.632920931064461,0.07704842490153527,1.7743726741972994,0.7989414080320432
"frozenset({'clicks_oucontent_low', 'clicks_quiz_low', 'clicks_homepage_low'})",frozenset({'Result_Fail'}),0.1329737771991817,0.3022131299981402,0.11902547889157523,0.8951048951048952,2.961833243679398,0.0788390574765352,6.65223482735107,0.7639575959888459
"frozenset({'clicks_oucontent_low', 'clicks_homepage_low'})","frozenset({'Result_Fail', 'clicks_quiz_low'})",0.16533382927282872,0.21089827041100986,0.11902547889157523,0.719910011248594,3.413541561273095,0.08415686025750646,2.817315010460291,0.8471040831105169
