antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"({'clicks_oucontent_low', 'clicks_quiz_low', 'clicks_homepage_low'})",({'Result_Fail'}),0.1329737771991817,0.3022131299981402,0.11902547889157523,0.895104895,2.961833244,0.078839057,6.652234827,0.7639575959888459
"({'clicks_oucontent_low', 'clicks_quiz_low'})",({'Result_Fail'}),0.16775153431281384,0.3022131299981402,0.1411567788729775,0.841463415,2.784337711,0.090460063,4.401424872319425,0.7700202412760101
"({'clicks_oucontent_low', 'clicks_homepage_low'})",({'Result_Fail'}),0.16533382927282872,0.3022131299981402,0.12962618560535616,0.784026997,2.594285022,0.079660132,3.230898580373195,0.7362672211182635
"({'clicks_forumng_low', 'clicks_homepage_low', 'clicks_quiz_low'})",({'Result_Fail'}),0.16830946624511808,0.3022131299981402,0.12423284359308165,0.738121547,2.44238742,0.073367513,2.664544799,0.7100772738958578
"({'clicks_homepage_low', 'clicks_quiz_low'})",({'Result_Fail'}),0.2267063418262972,0.3022131299981402,0.16644969313743724,0.734208368,2.429439011,0.09793606,2.6253154152230467,0.7608782692581575
"({'clicks_oucontent_high', 'clicks_quiz_high'})",({'Result_Pass'}),0.18058396875581179,0.5718802306118653,0.13037009484842849,0.721936148,1.262390462,0.027097693,1.5396455410217735,0.25365877033198797
"({'clicks_oucontent_low', 'clicks_homepage_low'})","({'Result_Fail', 'clicks_quiz_low'})",0.16533382927282872,0.21089827041100986,0.11902547889157523,0.719910011,3.413541561,0.08415686,2.817315010460291,0.8471040831105169
"({'clicks_quiz_medium', 'clicks_oucontent_medium'})",({'Result_Pass'}),0.16626371582666916,0.5718802306118653,0.11865352427003906,0.713646532,1.247895091,0.023570592120697856,1.4950745071601266,0.23826549199798328
"({'clicks_oucontent_high', 'clicks_homepage_high'})",({'Result_Pass'}),0.1480379393713967,0.5718802306118653,0.10303143016551981,0.695979899,1.217002901,0.018371459,1.408195605094856,0.20929250230704913
({'clicks_quiz_high'}),({'Result_Pass'}),0.3269481123302957,0.5718802306118653,0.22689231913706528,0.693970421,1.213489091,0.039917157259501734,1.398948986216247,0.2613913815518281
({'clicks_quiz_medium'}),({'Result_Pass'}),0.3368049098010043,0.5718802306118653,0.23154175190626744,0.687465489,1.20211445,0.038929682,1.3698319829715757,0.253518843
"({'clicks_quiz_high', 'clicks_homepage_high'})",({'Result_Pass'}),0.19583410823879488,0.5718802306118653,0.13334573182071788,0.680911681,1.190654344,0.021352077,1.3416967772788861,0.19912021644301153
({'clicks_homepage_high'}),({'Result_Pass'}),0.3286219081272085,0.5718802306118653,0.2226148409893993,0.677419355,1.1845476,0.034682468,1.3271712851032174,0.232053819
({'clicks_oucontent_high'}),({'Result_Pass'}),0.3267621350195276,0.5718802306118653,0.2187093174632695,0.669322709,1.170389661,0.031840512,1.294675447185805,0.21624408050513044
"({'clicks_forumng_low', 'clicks_quiz_low'})",({'Result_Fail'}),0.19992560907569276,0.3022131299981402,0.13371768644225404,0.668837209,2.213130877,0.073297542,2.107081138348313,0.6851255909047707
"({'clicks_homepage_high', 'clicks_forumng_high'})",({'Result_Pass'}),0.23860888971545471,0.5718802306118653,0.15956853263901805,0.668745129,1.169379693,0.023112825762502676,1.2924180332352397,0.19023831566577065
({'clicks_forumng_high'}),({'Result_Pass'}),0.3299237493025851,0.5718802306118653,0.2170355216663567,0.6578354,1.150302747,0.028358651830863085,1.2512100014737244,0.19499816990554136
"({'clicks_quiz_high', 'clicks_forumng_high'})",({'Result_Pass'}),0.15584898642365633,0.5718802306118653,0.10247349823321555,0.6575179,1.14974756,0.013346543936629512,1.2500500583528111,0.15428976296976926
({'clicks_oucontent_medium'}),({'Result_Pass'}),0.329737772,0.5718802306118653,0.21350195276176306,0.64749013,1.132212822,0.024931439673640116,1.2144901618002606,0.17422110353575412
({'clicks_homepage_medium'}),({'Result_Pass'}),0.34108238794867024,0.5718802306118653,0.22056909057095034,0.646673937,1.130785612,0.025510815893219074,1.2116846559534553,0.17552887935691544
({'clicks_quiz_low'}),({'Result_Fail'}),0.336246978,0.3022131299981402,0.21089827041100986,0.627212389,2.075397549,0.10928001877689465,1.8718081023195292,0.7806587491840131
"({'clicks_homepage_medium', 'clicks_forumng_medium'})",({'Result_Pass'}),0.16589176120513296,0.5718802306118653,0.1032174074762879,0.622197309,1.087985344,0.008347189,1.1331834845525703,0.09695381
"({'clicks_forumng_low', 'clicks_homepage_low'})",({'Result_Fail'}),0.2237307048540078,0.3022131299981402,0.13892505114376047,0.620947631,2.054667946,0.071310695,1.8408719399391174,0.6612439215414606
({'clicks_forumng_medium'}),({'Result_Pass'}),0.3392226148409894,0.5718802306118653,0.19973963176492468,0.588815789,1.029613821,0.005744925,1.0411872791519434,0.043527619
({'clicks_homepage_low'}),({'Result_Fail'}),0.3302957039241213,0.3022131299981402,0.1913706527803608,0.579391892,1.917163202,0.091550954,1.6589952893216908,0.7143391493940379
"({'clicks_forumng_low', 'clicks_homepage_low'})","({'Result_Fail', 'clicks_quiz_low'})",0.2237307048540078,0.21089827041100986,0.12423284359308165,0.55527847,2.632920931,0.077048425,1.7743726741972994,0.7989414080320432
({'clicks_oucontent_low'}),({'Result_Fail'}),0.34350009298865536,0.3022131299981402,0.1748186721220011,0.508933406,1.68402149,0.071008434,1.4209617959133793,0.618710445
({'clicks_homepage_low'}),"({'Result_Fail', 'clicks_quiz_low'})",0.3302957039241213,0.21089827041100986,0.16644969313743724,0.503941441,2.389500115,0.0967909,1.590743100737851,0.8682972917206423
